TYPE;Geom;Geo Local Area;geo_point_2d
Pedestrian Actuated Signal;"{""coordinates"": [-123.09144212786056, 49.28213393937653], ""type"": ""Point""}";Strathcona;49.28213393937653, -123.09144212786056
Pedestrian Actuated Signal;"{""coordinates"": [-123.13859433947638, 49.26263285634736], ""type"": ""Point""}";Fairview;49.26263285634736, -123.13859433947638
Semi Actuated;"{""coordinates"": [-123.08478532811242, 49.281059063526754], ""type"": ""Point""}";Strathcona;49.281059063526754, -123.08478532811242
Semi Actuated;"{""coordinates"": [-123.11169869075913, 49.27836693375212], ""type"": ""Point""}";Downtown;49.27836693375212, -123.11169869075913
Semi Actuated;"{""coordinates"": [-123.09981242258215, 49.2776708810648], ""type"": ""Point""}";Downtown;49.2776708810648, -123.09981242258215
Fixed Time;"{""coordinates"": [-123.11300550780514, 49.26036003068481], ""type"": ""Point""}";Mount Pleasant;49.26036003068481, -123.11300550780514
Semi Actuated;"{""coordinates"": [-123.04877457138394, 49.232786033836014], ""type"": ""Point""}";Renfrew-Collingwood;49.232786033836014, -123.04877457138394
Fixed Time;"{""coordinates"": [-123.12312337431023, 49.28572448963604], ""type"": ""Point""}";Downtown;49.28572448963604, -123.12312337431023
Pedestrian Actuated Signal;"{""coordinates"": [-123.0458776228513, 49.24460849928134], ""type"": ""Point""}";Renfrew-Collingwood;49.24460849928134, -123.0458776228513
Fixed Time;"{""coordinates"": [-123.12142152941958, 49.280311320215], ""type"": ""Point""}";Downtown;49.280311320215, -123.12142152941958
Fixed Time;"{""coordinates"": [-123.11386659612708, 49.286616849017285], ""type"": ""Point""}";Downtown;49.286616849017285, -123.11386659612708
Fixed Time;"{""coordinates"": [-123.12669395176864, 49.26058022871909], ""type"": ""Point""}";Fairview;49.26058022871909, -123.12669395176864
Fixed Time;"{""coordinates"": [-123.12680124793647, 49.275453413433354], ""type"": ""Point""}";Downtown;49.275453413433354, -123.12680124793647
Pedestrian Actuated Signal;"{""coordinates"": [-123.21213941777975, 49.263876376193444], ""type"": ""Point""}";West Point Grey;49.263876376193444, -123.21213941777975
Pedestrian Actuated Signal;"{""coordinates"": [-123.06794834282424, 49.25428071840749], ""type"": ""Point""}";Kensington-Cedar Cottage;49.25428071840749, -123.06794834282424
Fixed Time;"{""coordinates"": [-123.16817424541664, 49.26407041229889], ""type"": ""Point""}";Kitsilano;49.26407041229889, -123.16817424541664
Semi Actuated;"{""coordinates"": [-123.10997214561328, 49.21218981971806], ""type"": ""Point""}";Marpole;49.21218981971806, -123.10997214561328
Fixed Time;"{""coordinates"": [-123.09968911144006, 49.28038551743324], ""type"": ""Point""}";Downtown;49.28038551743324, -123.09968911144006
Pedestrian Actuated Signal;"{""coordinates"": [-123.04427171898563, 49.26571212155874], ""type"": ""Point""}";Hastings-Sunrise;49.26571212155874, -123.04427171898563
Pedestrian Actuated Signal;"{""coordinates"": [-123.05654264010202, 49.28298401378549], ""type"": ""Point""}";Grandview-Woodland;49.28298401378549, -123.05654264010202
Pedestrian Actuated Signal;"{""coordinates"": [-123.12928944119506, 49.217120583382176], ""type"": ""Point""}";Marpole;49.217120583382176, -123.12928944119506
Fixed Time;"{""coordinates"": [-123.11897220754435, 49.27664157543834], ""type"": ""Point""}";Downtown;49.27664157543834, -123.11897220754435
Fixed Time;"{""coordinates"": [-123.06573636630493, 49.22518112212508], ""type"": ""Point""}";Victoria-Fraserview;49.22518112212508, -123.06573636630493
Pedestrian Actuated Signal;"{""coordinates"": [-123.15300049608193, 49.25439381433015], ""type"": ""Point""}";Arbutus Ridge;49.25439381433015, -123.15300049608193
Fixed Time;"{""coordinates"": [-123.09984745655613, 49.27676639399865], ""type"": ""Point""}";Downtown;49.27676639399865, -123.09984745655613
Semi Actuated;"{""coordinates"": [-123.15853579833389, 49.21957957179578], ""type"": ""Point""}";Kerrisdale;49.21957957179578, -123.15853579833389
Pedestrian Actuated Signal;"{""coordinates"": [-123.07739155250513, 49.26785279471745], ""type"": ""Point""}";Strathcona;49.26785279471745, -123.07739155250513
Pedestrian Actuated Signal;"{""coordinates"": [-123.16783913266839, 49.25007899741283], ""type"": ""Point""}";Arbutus Ridge;49.25007899741283, -123.16783913266839
Pedestrian Actuated Signal;"{""coordinates"": [-123.08309132077585, 49.21816709716073], ""type"": ""Point""}";Sunset;49.21816709716073, -123.08309132077585
Pedestrian Actuated Signal;"{""coordinates"": [-123.07202047492981, 49.21628720405848], ""type"": ""Point""}";Victoria-Fraserview;49.21628720405848, -123.07202047492981
Pedestrian Actuated Signal;"{""coordinates"": [-123.10152657588195, 49.22937342240008], ""type"": ""Point""}";Sunset;49.22937342240008, -123.10152657588195
Pedestrian Actuated Signal;"{""coordinates"": [-123.09721452315827, 49.23299582432622], ""type"": ""Point""}";Riley Park;49.23299582432622, -123.09721452315827
