TYPE;Geom;Geo Local Area;geo_point_2d
Pedestrian Actuated Signal;"{""coordinates"": [-123.09752866013598, 49.22558120805182], ""type"": ""Point""}";Sunset;49.22558120805182, -123.09752866013598
Semi Actuated;"{""coordinates"": [-123.13862129415003, 49.28936543491297], ""type"": ""Point""}";West End;49.28936543491297, -123.13862129415003
Semi Actuated;"{""coordinates"": [-123.02360754165123, 49.21747322051421], ""type"": ""Point""}";Killarney;49.21747322051421, -123.02360754165123
Semi Actuated;"{""coordinates"": [-123.03620065491016, 49.28112994195748], ""type"": ""Point""}";Hastings-Sunrise;49.28112994195748, -123.03620065491016
Fixed Time;"{""coordinates"": [-123.11093306004547, 49.28340931632478], ""type"": ""Point""}";Downtown;49.28340931632478, -123.11093306004547
Fixed Time;"{""coordinates"": [-123.11702347327036, 49.28712280377924], ""type"": ""Point""}";Downtown;49.28712280377924, -123.11702347327036
Semi Actuated;"{""coordinates"": [-123.14014745181252, 49.219350739803446], ""type"": ""Point""}";Oakridge;49.219350739803446, -123.14014745181252
Fixed Time;"{""coordinates"": [-123.09077387890487, 49.22547182594508], ""type"": ""Point""}";Sunset;49.22547182594508, -123.09077387890487
Semi Actuated;"{""coordinates"": [-123.11534316991684, 49.26640724902504], ""type"": ""Point""}";Fairview;49.26640724902504, -123.11534316991684
Fixed Time;"{""coordinates"": [-123.1150840113954, 49.25690793662826], ""type"": ""Point""}";Fairview;49.25690793662826, -123.1150840113954
Pedestrian Actuated Signal;"{""coordinates"": [-123.07363084358012, 49.262350161566616], ""type"": ""Point""}";Grandview-Woodland;49.262350161566616, -123.07363084358012
Pedestrian Actuated Signal;"{""coordinates"": [-123.16636371819908, 49.26833886555978], ""type"": ""Point""}";Kitsilano;49.26833886555978, -123.16636371819908
Pedestrian Actuated Signal;"{""coordinates"": [-123.02701202851678, 49.24331709492321], ""type"": ""Point""}";Renfrew-Collingwood;49.24331709492321, -123.02701202851678
