TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y,CRIME_CATEGORY
Break and Enter Commercial,2020,2,24,4,33,8XX W 6TH AVE,Fairview,491017.0045,5457022.5532,Commercial
Break and Enter Commercial,2020,7,20,1,21,8XX W 6TH AVE,Fairview,491017.0045,5457022.5532,Commercial
Break and Enter Commercial,2020,9,29,9,57,8XX W 6TH AVE,Fairview,491017.0045,5457022.5532,Commercial
Break and Enter Commercial,2020,6,27,15,47,8XX W 6TH AVE,Fairview,491105.6387,5457020.8465,Commercial
Break and Enter Commercial,2020,7,22,5,29,8XX W 70TH AVE,Marpole,490884.6976,5450633.3972,Commercial
Break and Enter Commercial,2020,4,25,20,0,8XX W 7TH AVE,Fairview,490994.9268,5456939.8991,Commercial
Break and Enter Commercial,2020,10,31,13,12,8XX W 7TH AVE,Fairview,491096.4253,5456937.334,Commercial
Break and Enter Commercial,2020,3,11,8,27,7X E BROADWAY AVE,Mount Pleasant,492473.7559,5456700.2724,Commercial
Break and Enter Commercial,2020,9,27,23,38,7X E BROADWAY AVE,Mount Pleasant,492473.7559,5456700.2724,Commercial
Break and Enter Commercial,2020,11,7,13,59,7X E PENDER ST,Central Business District,492517.3723,5458634.2507,Commercial
Break and Enter Commercial,2020,4,9,0,3,7X E PENDER ST,Central Business District,492520.1899,5458634.1479,Commercial
Break and Enter Commercial,2020,12,2,6,24,7X E PENDER ST,Central Business District,492525.0314,5458643.1184,Commercial
Break and Enter Commercial,2020,7,22,9,9,7X N NANAIMO ST,Hastings-Sunrise,495893.7177,5459191.7707,Commercial
Break and Enter Commercial,2020,1,1,5,56,7X W 2ND AVE,Mount Pleasant,492283.8926,5457399.732,Commercial
Break and Enter Commercial,2020,3,17,13,41,7X W HASTINGS ST,Central Business District,492259.0368,5458790.5641,Commercial
Break and Enter Commercial,2020,4,22,9,39,7X W HASTINGS ST,Central Business District,492259.0368,5458790.5641,Commercial
Break and Enter Commercial,2020,9,5,20,50,7XX ALEXANDER ST,Strathcona,493598.13,5459007.1491,Commercial
Break and Enter Commercial,2020,4,1,22,54,7XX BEATTY ST,Central Business District,491734.3421,5458350.9548,Commercial
Break and Enter Commercial,2020,8,16,17,40,7XX BEATTY ST,Central Business District,491789.2839,5458405.893,Commercial
Break and Enter Commercial,2020,10,6,8,52,7XX BROUGHTON ST,West End,490605.841,5459517.7038,Commercial
Break and Enter Commercial,2020,3,20,3,30,7XX BURRARD ST,West End,491107.1134,5458998.8356,Commercial
Break and Enter Commercial,2020,5,9,9,8,7XX BURRARD ST,West End,491107.1134,5458998.8356,Commercial
Break and Enter Commercial,2020,1,27,20,24,7XX BURRARD ST,West End,491134.2447,5459025.4461,Commercial
Break and Enter Commercial,2020,7,25,19,0,7XX BUTE ST,West End,490796.1125,5459280.5497,Commercial
Break and Enter Commercial,2020,4,23,2,31,7XX CAMBIE ST,Central Business District,491688.243,5458433.8757,Commercial
Break and Enter Commercial,2020,4,22,4,35,7XX CHILCO ST,West End,490009.406,5460144.5967,Commercial
Break and Enter Commercial,2020,10,15,21,48,7XX CHILCO ST,West End,490015.3249,5460150.4156,Commercial
Break and Enter Commercial,2020,7,16,4,42,7XX DENMAN ST,West End,490164.5582,5459890.1082,Commercial
Break and Enter Commercial,2020,12,12,11,30,7XX DENMAN ST,West End,490173.359,5459885.9975,Commercial
Break and Enter Commercial,2020,12,13,20,45,7XX DENMAN ST,West End,490173.359,5459885.9975,Commercial
Break and Enter Commercial,2020,11,15,14,36,7XX DENMAN ST,West End,490205.6936,5459918.6116,Commercial
Break and Enter Commercial,2020,1,25,1,1,7XX DUNSMUIR ST,Central Business District,491485.3891,5459049.9518,Commercial
Break and Enter Commercial,2020,2,13,22,39,7XX DUNSMUIR ST,Central Business District,491485.3891,5459049.9518,Commercial
Break and Enter Commercial,2020,3,23,12,3,7XX DUNSMUIR ST,Central Business District,491485.3891,5459049.9518,Commercial
